,Text,custom_annotation
14,"""the china virus""\n""the muslim ban""\ntelling American Jews ""we love your country"" \n""very fine people on both sides"" \n""birtherism"" \nSaying an American judge couldn't be impartial because he was ""Mexican"" \nwarning suburban women of a black senator\n""Pocahontas""\n""Sh*thole countries"" https://t.co/MWO61O9QqN",NOT-HATE
15,I see there's been some fake trollish outrage on here about Jews making jokes about Nazis. They're going to have their minds blown when they find out about Mel Brooks.,HATE
16,@donaldrallis Israeli Arab yes The Palestinians have their own government - they have ordered 4 million vaccinations from Russia that should arrive in the coming weeks. Israel will assist and send vaccinations to the PA if there will be surplus quantities ordered by Israel.,NOT-HATE
17,"When Gaza was attacked, \n#NetRight was told on the net'\n""Netouyo defends Israel! \nNetouyo's parent Jews!"". \n\nIt's incoherence !\n#ネトウヨ　#ネット右翼",NOT-HATE
18,"RT @SecPompeo: You hang homosexuals, stone women and exterminate Jews. https://t.co/eip0bu8RIL",HATE
19,@common__man__ We Indians support Israel.,NOT-HATE
20,Netanyahu first said that Israel is the nation-state of the Jews only and now he says that Palestinians in Israel have 22 countries to go to. This is exactly what Apartheid leaders in South Africa said in relation to non- whites. It was abhorrent then and abhorrent now.,NOT-HATE
21,"Did the Missouri Republican Party blame Jews when Republican Gov. Eric Greitens got in trouble for tying up a naked woman, photographing her against her will, and then blackmailing her? Yup. https://t.co/IJQE4LoR2n",NOT-HATE
22,"Netanyahu has 'quashed' the independence of the Israeli judiciary, therefore #Israel is ""undemocratic"". \n\nModi won't 'quash' the independence of the Indian judiciary to force acquittal of Rahul Gandhi, therefore India is ""undemocratic"".\n\nIt's never been about democracy for them. https://t.co/mTd7iouLUQ",NOT-HATE
23,"Dear Israel\n\nZelenskyy is a Jewish man whose family went through Hell because of Hitler's hate for Jews, now Putin calls This Jew a Nazi and you side with Putin\n\nYou Have Lost Your Way and your Soul!",NOT-HATE
24,"First they came for the Jews, I mean Zionists. Then they came for the women, I mean transphobes. https://t.co/270zVma6bE",HATE
25,There is a major issue in Israel data. Rushing ahead with further jabs for non vulnerable groups before understanding what exactly the data are telling us would be totally irresponsible. Impatient politicians putting pressure on JCVI is wrong in every way https://t.co/4RFy65wCzo,NOT-HATE
26,"RT @AbsoluteAlmost: @AKWHITEROOM @olgatokariuk @washingtonpost The Azov group that was far right and started 8 years ago was an informal, civilian group. That is not what it is now since it became a formal battalion of Ukrainian army. Muslims, Jews, Christians all serve in Azov and outspoken far right elements have been ejected years ago.",NOT-HATE
27,"@JackPosobiec @mattletiss7 Ukrainians helped them dispose of Jews and some they shipped off to the German camps. Also German Jews spoke German, and what happened to them? Germany left them alone? Thats not what history says.",NOT-HATE
28,RT @mariamuser: Boycott apartheid Israel. Pass it on.,NOT-HATE
29,"#Nomore Movement is on a roll with high momentum &amp; pace. Demonstrations in London, Oslo, Milan, Geneva, Israel, US cities &amp; more.  But more than geographical outreach, vision articulated is inspiring: #Nomore to external interventions/Unilateral Coercive Measures! Kudos to all! https://t.co/SzOEc1zGIy",NOT-HATE
30,@sera_abdi @vicgerami @trtworld @IlhanMN So is the case with Israel. The Palestnians lost the war and hence their area.,NOT-HATE
31,"Nazis killed 6 mil Jews. Islamic invaders including Mughals killed 100 mil Hindus. After WW2 Germany destroyed all Nazi Symbols including #hakenkreuz on every grave.\nIn India, genocide of Hindus is celebrated as History &amp; we are taught how great our killers were! @Global_Musings",NOT-HATE
32,Israel cyber hacked Iran's gas stations. Iran cyber hacked Israel's dating website &amp; hospital. The covert war enters a new phase of targeting civilians. Millions of ordinary people caught in the crossfire. our latest w/ @ronenbergman   https://t.co/vXRySM4ARi,NOT-HATE
33,"27 February 1897 | A Czech Jewish woman, Irma StrakovÃ¡, was born. \n\nShe was incarcerated in the Theresienstadt ghetto on 24 October 1942 &amp; two days later deported to #Auschwitz in a group of 1,866 Jews. She was murdered in a gas chamber with 1618 people, incl. her husband Karel. https://t.co/yBjpL6oWjq",NOT-HATE
34,"Ani-Islam♥2)Following Assassination of J. Kennedy by Israel 1963♦ Most of them have been described by the Qur’an as seeking corruption on earth and they are the most hateful and hostile to Muslims,(Allah said: Christians are the closest people to Muslims\nhttps://t.co/xaTd4pDUZK",NOT-HATE
35,"@Josiano52124875 @Catholic4Choice Wrong, because again the Torah didn't say abortion was OK. Also, you have yet to show evidence that the Christian Church, or even the Jews at the time, would have said abortion was OK. Even Josephus, who would have fallen in the camp of Jews who believed a fetus was not legally",NOT-HATE
36,The Jews have very uninformed views about [checks notes] the meaning of Hebrew words in Jewish scripture. https://t.co/mqWOR2ZN3y,HATE
37,"The #Antisemitism I have read in response to the stabbing of Monsey Jews in Rockland County is astounding. Black people, white people and others with hate for their fellow man because they are Jewish. I pray that these people are the minority.",NOT-HATE
38,They should have given Hong Kong to the Jews.\nhttps://t.co/fJ1mgoM2Ws,HATE
39,@teacher_choice These look like Orthodox Jews to us! They are anti-Semitic?! Really?! https://t.co/IAo6AaF1vj,HATE
40,It is #HolocaustMemorialDay. \n\nThe Nazis targeted \n\nJews\nRomani people \nDisabled people \nQueer and trans people\nPeople with the “wrong” political beliefs \nSlavs\nand others. \n\nNever again means we all have to stand together when any of us is under attack. \n\nNever again is now.,NOT-HATE
41,"RT @historyoarmani2: Ukrainian paratroopers singing â€œOur father is Bandera, our mother is Ukraineâ€. Bandera was the leader of Ukraineâ€™s Nazi organization and murdered over 100,000 Poles and Jews in 1943-1944.  Just in case you still think the Ukrainian military and government isnâ€™t filled with Nazis! https://t.co/NThATvkJZX",NOT-HATE
42,American Jewish leaders have been demonizing 1 in 4 American Jews as antisemites: https://t.co/IA7AgJhAqV,NOT-HATE
43,RT @funshographix: The Jews are proud to be Jews anywhere they are. The Germans are proud to be Germans anywhere they are. But they want me to put Nigeria first before my identity. I am Yoruba first &amp; last. and it will remain like that till Yoruba nation come to realization.,NOT-HATE
44,"40% of Americans think Israel is treating the Palestinians like how the Nazis treated the Jews\n\nAlso, 40% of Americans don't know what Auschwitz is",NOT-HATE
45,RT @AmnestyUK: French-Palestinian lawyer Salah Hammouri is being detained in Israel for his work at a prisoner's rights NGO. We don't know when he will be released.  Will you use your voice to help people like Salah? Sign up to text alerts from Amnesty International UK  https://t.co/X9ewzZsqOz,NOT-HATE
46,Jews in NYC just cut the lock @NYCMayor put on their park 🇺🇸 https://t.co/77431im2Ge,HATE
47,RT @StephenUzzell2: #OTD in 1943 non-Jewish Latvian Yanis Lipke rescued 3 Jews in Riga by offering ghetto guards 2 packets of cigarettes in exchange. Lipke &amp; helpers rescued more. They are said to have saved 1/5 of the c.200 Jews who survived the war in Latvia. https://t.co/sbBgBMzWlT,NOT-HATE
48,Reminder: israel deliberately targeted &amp; bombed 161 Mosques in Gaza in 2014: 41 were completely obliterated &amp; 120 were partially destroyed https://t.co/W1S1whUGAo,HATE
49,RT @cjwerleman: Whoa - 8 former officials of Indian Navy arrested in Qatar were involved in espionage for Israel.,NOT-HATE
50,"@NickGriffinBU This audio of Richard Spencer absolutely fucking losing it, raging about kikes and how people like h� https://t.co/ku7C52wN1C",NOT-HATE
51,"@RichardBurgon A lying politician? Never! Didn't you get caught lying in 4k about some Israel thing? Let's face it, yous all lie, you have the additional drawback of being incredibly thick! Man, if you and Diane Abbott made a baby it would be thicker than Kim kardashians arse!",NOT-HATE
52,"RT @Shepherds4Good: Destroying life-giving resources are essential tactics of settler colonial states. When Israel destroys a community's water wells, like they did today in Nilin, they are using age-old colonial tactics to terrorize entire generations of families to drive them from their lands. https://t.co/ZTYsNgLxMO",NOT-HATE
53,"The question is not just ""Can Muslims and Jews be friends?""  Can we be friends that talk about the things which are most important to us? Can we be friends who inspire each other and spur each other on to grow and be better human beings?  Can we talk about tough issues? https://t.co/rZKF9WAvbM",NOT-HATE
54,"RT @LaraFriedmanDC: Israel smeared Palestinian activists, EU admits  https://t.co/2DLb0etWdS",NOT-HATE
55,@JoeBiden The PA never wanted to sit at the table..\n\nYour administration said Jews have no history to Jerusalem. \n\nWhat have you done for the Jews in Israel or Palestinians. \n\nYou've been in gov for 40 years and done nothing.,NOT-HATE
56,"The modern committed fascist in America.\n\n""Alexa, how can white people exterminate the Jews?"" https://t.co/X2gE3Lngpr",NOT-HATE
57,"Gonna come out here and say it:  Fellow Jews, racism towards Black people is an issue in our community too.  You have a responsibility to listen to us, learn from us, and make us feel welcome in the community.  The othering and erasure of black Jews needs to stop.",NOT-HATE
58,"RT @AuschwitzMuseum: 14 December 1934 | A Dutch Jewish girl, Martha Doof, was born in Amsterdam.  She arrived at #Auschwitz on 11 February 1943 in a transport of 1,184 Jews deported from Westerbork. She was among 1,005 of the murdered in gas chambers after the selection. https://t.co/1W4clflodY",NOT-HATE
59,The EU/US Aid contribute to such horrifying attacks on Jews because Pa #payforslay that rewards terrorists families with generous pensions encourages such savage terror against/Jews/Israelis!ðŸ‡®ðŸ‡±âœ¡ï¸ðŸ•ðŸ‘ https://t.co/n8m8SYnKER,NOT-HATE
60,"@stardales Also don't forget that many older Jews feared the Iran deals effect on Israel, plus the fact that Mehdi drew the ""He voted for Iraq"" card when it's just you know.",NOT-HATE
61,Hahhaa.. I am surprised Swamy has not compared it to Nazis exterminating Jews... and burning all books... And why is he into NEET and PEET and all this?... Its an exam... the students and parents will figure it out...  https://t.co/4BunakPeXx,NOT-HATE
62,America's Jews and Christians Are Failing the Test of Their Lives https://t.co/Q1ExnfLPk8,HATE
63,"RT @theskindoctor13: Most wokes have no idea what Israel-Palestine conflict is all about but yes, Free Palestine because it's cool, happening and validating.  Actors, influencers, 'pronouns-unicorn-rainbow flag' hot girls are saying free Palestine to theek hi keh rahi hongi. Hence #FreePalestine.",NOT-HATE
64,"More than half a century ago, a group of Jews and Palestinians in Israel recognized that the â€œconflictâ€ was a settler-colonial one and wrote extensively about how to overthrow the regime. \n\nI got to speak to Matzpenâ€™s last living founder, MoshÃ© Machover ðŸ‘‡\nhttps://t.co/ZrhzCWftU9",NOT-HATE
65,Times Columnist Accuses UK’s Young Labour of Supporting ‘Second Holocaust’ over Criticism of Israel https://t.co/YrbEeEYnJ9 via @PalestineChron,NOT-HATE
66,"RT @jeremycorbyn: 84 years ago, over 7,000 Jewish business &amp; homes were destroyed, hundreds of synagogues were burned, and 30,000 Jews were taken to concentration camps.  In memory of Kristallnacht, we must remain vigilant in our fight against antisemitism, fascism &amp; all forms of discrimination. https://t.co/72X0IJhznT",NOT-HATE
67,Leader of Britain�s largest Muslim charity forced to quit after labelling Jews 'grandchildren of monkeys and pigs'. ?@jhrwatch?  https://t.co/DVAztfMneO,HATE
68,"FBI warns white supremacists encouraging members to spread coronavirus to law enforcement, Jews: report https://t.co/VPmNnk9XEK",HATE
69,"Here you have it. \n\nThe anti semitism smears are not about protecting Jews per se, but protecting Zionism. \n\nWho’da thunk it. https://t.co/VFORdwYsyC",NOT-HATE
70,@kikes12 @EACCKenya Kikes  you'll get Justice..Never relent!,NOT-HATE
71,"Jordanian TV Host Omar Ayasra: The Holocaust Is a Story Used by Israel to Extort the West, Get Sympathy; Visiting Auschwitz Helps Israel Survive https://t.co/RM0QGRkQmr",NOT-HATE
72,@MahuaMoitra The way Nazis killed Jews #TMC has committed unspeakable atrocities on Hindus in #Bengal.  \n\nDon't recollect you ever condemning it.\n\nWhy Lady Goebbels?,NOT-HATE
73,@AAk47722104 @Timesofgaza Nothing was empty. Till now the Palestinians continue to dig under the mosques in efforts to destroy evidence. Jews always been praying  and will be praying to the secred sight of ancient shrine. Respect that as all respect the Qabba stone in Mecca. Only mutual respect can bridge,NOT-HATE
74,Yet another tool israel harnesses to fulfil its devouring of all Palestine with as few Palestinians in it as possible.\n#Dismantle_israel\nhttps://t.co/KcSZSXSmem,HATE
75,@DraftExpress Do you see Cade Cunningham and other top recruits going to Europe or Australia or Israel with how bad the US situation is right now?,NOT-HATE
76,"A lot of my “so called fans” are asking why I don’t just shut up and make you laugh. My Grandparents were Jews. For THAT they were sent to Camps &amp; forced to see their families murdered. If you have a voice &amp; you remain silent, you are a part of the problem. Not the solution.",NOT-HATE
77,"â€œJesus said, â€œGet up, take your bedroll, start walking.â€ The man was healed on the spot. He picked up his bedroll and walked off. That day happened to be the Sabbath. The Jews stopped the healed man and said, â€œItâ€™s the Sabbath. You canâ€™t carry your bedroâ€¦ https://t.co/NcP1zg4YZz",HATE
78,Tip: Jews have lived in practically all habitable areas on earth. We owe a debt of gratitude to those countries who have hosted Jews peacefully.,NOT-HATE
79,"Israel has vaccinated about as many people in the last two weeks as the UK has in the last four weeks. UK currently vaccinating around 250,000 a week, Israel did 150,000 in one day on Thursday. Shows it can be done.",NOT-HATE
80,"BREAKING: Not content forging a full normalization deal between Israel and an Arab state, the Trump admin today confirmed it used sanctions leverage to convince the owners of 4 ships transporting Iranian oil to Venezuela to hand over their oil to us https://t.co/ZLy3QDg4Kx",NOT-HATE
81,"~2 weeks ago, Israel opened its schools fully.  In the past 2 days, a superspreader event has occurred in a Jerusalem high school, w/ 103 new cases\nhttps://t.co/LZy84OgJdp\nThis appears to be the largest school venue superspreader event to date https://t.co/CxgTYY2xgt via @gmknght",NOT-HATE
82,"More like they think OUR lives don’t matter. (Or at least black, brown and gay people’s lives, and Jews and Muslims, and native people to this land. OUR lives don’t matter to them. They don’t care if they endanger any of us.) They think *they* are invincible. https://t.co/rIxrXo7khl",NOT-HATE
83,Israel Is Now Reporting That The Trump Administration Reached Out To Them Back In November To Warn Them About Impending Pandemic https://t.co/ZDRV4UW0xX,NOT-HATE
84,"Socialists will be socialists! In this photograph taken in 1938, the German National Socialists—the Nazis— force Jews in Vienna to kneel and clean the street. Racial humiliation as a form of political retaliation! https://t.co/nGDL8QN0pY",NOT-HATE
85,"""The Tunnels Road is a prime example of just one of the methods Israel has been using to entrench an apartheid, one-state reality.""\n\nhttps://t.co/v42f8gRHxK",NOT-HATE
86,"This headline is by a white, non-Jewish conservative. \n\nDo not fall for this absolute bullshit. Do not blame Jews for this. https://t.co/HrrY0znlLz",NOT-HATE
87,"Despite Chanukah, December was the cruellest month for American Jews. If they don't accept some hard truths, the January will be worse, and so will February, March, April...etc. For details, read my column in today's @IsraelHayomEng . Shabbat shalom! https://t.co/1hnnLBp2HX",NOT-HATE
88,"#ANAMEDÖneriyor: “Travels in search of Turkey's Jews / text, Ayşe Gürsan-Salzmann ; photography Laurence Salzmann” https://t.co/AnqcuawudB",NOT-HATE
89,"Israel has vaccinated 11% of its population, including 41% of people over the age of 60. https://t.co/sOlczNDaVu",NOT-HATE
90,"@pritipatel @BorisJohnson You should be ashamed of your conduct since coming into office. You have pursued your own agenda of bullying, secret meetings with Israel, supporting the death penalty and paying the Rwanda govt 120 million pounds to take refugees. It is my sincere wish that you rot away forever",NOT-HATE
91,"We are not responsible for @netnyahu and co., the Zionists.   We have nothing with them.   Jews as a whole should n� https://t.co/2Dy1r6FaIX",HATE
92,"The Western Wall when it was occupied between 1948-1967, and today. Between 1948-1967 Jews were not allowed to even visit their holiest site. Today Jerusalem is united and open to all who come in peace. It will never be divided again. https://t.co/ndmcOJHJyR",NOT-HATE
93,"There are Jewish-Israeli families going back hundreds of years\nThere are 6m+ Jews in total living there\nAbolishing the State of Israel is a ridiculous aim\nPlacing international pressure on Israel through diplomacy, and even forms of BDS, to work towards peace isn't",NOT-HATE
94,1. A NY city council campaign manager makes a ridiculously antisemitic statement\n\n2. A Jewish organization condemns it.\n\n3. The far left DEFEND the statement and ATTACK the Jewish org.\n\nTell me again how they supposedly defend Jews from antisemitism? https://t.co/OcBsyfNAaz,NOT-HATE
95,"@DavidaOrinthal @JackLBrand @ighaworth @SpeakerPelosi European Jews formed Israel, The actual Jews were brown middle Easterns, that resembles Arabs to a extent. And the Palestinians have been living in Israel before their were even Jews in the first place, they were called Canaanites.",NOT-HATE
96,"Lmaooo if I start telling yâ€™all stories about Dayo Israel, we wonâ€™t leave here today â€¦Oloriburuku ni guy yen .. and yea when I met him around 2009 or so, I thought he was a pastor until he started scamming everyone ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ https://t.co/Wd61PkEFGL",NOT-HATE
97,"RT @TeamPelosi: American Jews are a vital and vibrant thread in the fabric of our great nationâ€™s tapestry.  Against a dangerous and rising tide of antisemitism globally, we celebrate our diversity and commit to condemning and confronting hate wherever it exists. â€“NP #JewishAmericanHeritageMonth",NOT-HATE
98,"RT @JewsforJesus: As Messianic Jews, we believe that God has filled the world with clues to help us find Himâ€”in the scriptures, in nature, and in the lives of those who know him through the Messiah, Yeshua. The clues are everywhere. Have you ever seen any signs that point you to God? https://t.co/ixBBqHXboh",NOT-HATE
99,Oh look - Irish writer Sally Rooney won’t allow her latest novel to be translated into Hebrew - the language that Jews around the world pray in and can read and speak to varying degrees. Because of Israel or something. Not antisemitism. https://t.co/KqQ6CC9JeT,NOT-HATE
100,I do not support the illegitimate state of Israel,HATE
101,"1)This is a good answer from @BernieSanders and it captures the sentiment of lots of American Jews with regard to Israel;\n2) It’s appalling that, in the context of talking about Sanders as a Jewish candidate, he was asked by a moderator if he was sufficiently supportive of Israel https://t.co/ZOAcq2crqg",NOT-HATE
102,@mtgreenee Wear protection from those space lasers so the Jews don’t get you 🤣,HATE
103,"RT @EricEripet12: @sahouraxo Most ppl only flip on the local news where there is scant coverage of foreign affairs. Finding out what weâ€™ve supported in Israel, Yemen, Iraq, Afghan, Syria etc. would destroy these ppls egos. They would never consider the harm the US is causing all around the world.",NOT-HATE
104,RT @InbarCohen13: These are Indian Jews (Bnei Menashe) who came all the way to Israel in order to join the IDF and defend the state of Israel ðŸ‡®ðŸ‡³ðŸ‡®ðŸ‡±ðŸ‡®ðŸ‡³ðŸ‡®ðŸ‡± https://t.co/5ChrpoSped,NOT-HATE
105,@TheCiroth A fake man built to pacify the Jews? https://t.co/ew3hVqfugW,HATE
106,"@amjoyshow It took lying criminal Trump who obeyed his ZioNazi boss who funds him -S Adelson-To finally crack the biggest cult, biggest lie of fake Evangelicals-Who  pray to the cancerous terrorist racist apartheid regime-Shame on them-It’s against all of Jesus’ teachings! Any ?’s- #TBT",NOT-HATE
107,"We recognize that for many Jews, reckoning with a thoroughly researched and well-documented report about Israel's apartheid practices, is going to be a painful experience, but it's also a necessary one.\n\nSee below for an example of how not to engage with @hrw's report. https://t.co/cPl9umW1KK",NOT-HATE
108,Please donate to help Jews of color!\nhttps://t.co/MzuefUEpYf,NOT-HATE
109,RT @hannah_aslamx: idk what israel is x,HATE
110,"@danalytix2 @m_shanableh @malmuhta @LinahAlsaafin @JeSuis4Peace Bro literally again proving my point. The people that's lived there for years created their their own identity separate from other Arab cultures. Jews Christians Muslims, all Palestinians",NOT-HATE
111,@GBNEWS But you support and reward Apartheid and racist Israel. Isnt that hypocrisy? https://t.co/3kkywwsBLI,NOT-HATE
112,"Santos often spoke of his grandparents as Jews who fled Nazi oppression during World War II, as part of his Jewish heritage. He claimed to play volleyball at Baruch College, which he never attended.",NOT-HATE
113,"@beetlewingss @_uRocketquinn @oofouchoww According to Wikipedia he identifies as Jewish! I think that's how the Orthodox jews do it tho, with secular jews if you have one jewish parent and identify as Jewish, you're Jewish",NOT-HATE
114,"India is not only a place where Jews never faced anti-semitism or persecution, it is also a county that provided a safe haven to Jews escaping the #Holocaust. #NeverForget #UnitedinMemory75 https://t.co/cBFLE9an6z",NOT-HATE
115,RT @KimDotcom: US to Ukraine â€œHereâ€™s 100 billionâ€ US to Pakistan â€œHereâ€™s 8 billionâ€ US to Israel â€œHereâ€™s 3.8 billionâ€ US foreign aid â€œHereâ€™s 47 billionâ€  US to Americans â€œSorry you lost your home. Sleep in your car.â€,NOT-HATE
116,"As Greece and Israel celebrate 30 years of full diplomatic relations, PM @netanyahu and I reaffirmed the strategic partnership between our two countries. Our relationship is going from strength to strength, expanding further in areas such as energy, defense, tourism &amp; technology. https://t.co/ZcpoumObkd",NOT-HATE
117,"RT @ggreenwald: There is, indeed, massive anti-Semitism in UK Labour. It comes from the Blairites &amp; centrists who have cynically weaponized it to silence critics and now purge dissenting Jews. It's been going on since @angelasmithmp created her infamous list of Bad Jews:  https://t.co/VRi6ljjWtl",NOT-HATE
118,@swilkinsonbc How about expel all zionazis of Palestine!,HATE
119,The United States treats israel more like a state than it does Puerto Rico.,HATE
120,"Please join me before we begin our weekend and #Sabbat celebrations, to think of those who were injured or lost their lives this week from war and terror in #Israel and #Afghanistan. May their lives be a blessing forever. May all those who love them know they are not forgotten. https://t.co/DGgNqSFu2n",NOT-HATE
121,@YourFriendZippy ZioNazis propoganda hopefully Brits not going to fall for this zionists shit,HATE
122,"@DMcWildin Ppl already took Tolkien saying ""Wouldn't you say the Dwarves remind you of Jews?"" at face value, it's only a matter of time",NOT-HATE
123,"@RivkahBrown @BoDPres ""The hundreds"" of young British Jews demanding that the BOd condemn annexation? \nhttps://t.co/rNOBz2pih7",NOT-HATE
124,@ToriGlass We didn't go to the moon. The economy will crash and the dollar will be worthless so they hoard items to trade (but not useful items!). We will have a civil war. We will have to smuggle Jews during the ww3 like Corrie Ten Boom...I could go on.,HATE
125,"For Ukrainian Jews, having a Jewish president is a source of pride — and fear: While Volodymr Zelensky's election has brought hope, antisemitism is still rife https://t.co/v34RqNz5pt JPost https://t.co/Lrp92DUgoC",NOT-HATE
126,"“If we were white — if we were Irish, Jews, Poles — Nat Turner would be a hero. If a white man stands up and says, ‘Give me liberty or give me death,’ the whole world applauds. If a black man says the exact same thing, he is treated as a criminal” James Baldwin https://t.co/y4QHaqSMVd",NOT-HATE
127,"Let’s zoom in on what’s happened in Israel in only 2 months since an article in The Wall Street Journal quoted epidemiologists saying that widespread mask usage was the reason the curve came down in Israel\n\nYup, looks right https://t.co/OvSeiuAwcb",NOT-HATE
128,"@Littleleers15 You seem to have this bizarre idea that Jews are above reproach. ""Are all Jews the same?"" In so far as their strong ethnic identity &amp; commitment to that identity, yes. And you're really asking my denomination? haha Have you bothered to look at my name here?",NOT-HATE
129,@damian_from Most of the people I know who have been suspended are left wing jews ffs,HATE
130,RT @kaleidoscopeT0: Israelâ€™s Conduct Incomprehensible                                     JEREMIAH 8:4-9,NOT-HATE
131,"RT @mtracey: India, Pakistan, China, Indonesia, Bangladesh, Egypt, Iraq, Saudi Arabia, Kenya, Nigeria, South Africa, Mexico, Brazil, Argentina, Colombia, Turkey, Israel, and more have called for negotiations in Ukraine. The real global outliers are implacable pro-war zealots in the US and EU",NOT-HATE
132,"@manoraic @KaleemA70780403 @DROPPINLIBS @AhmedKhabeer_ Hamas Palestinian govt are together, right? If not how can they lauch barrages of rockets into civilian areas of Israel everytime from Palestine? Why aren't palestines police aren't able to stop the shipments of rockets in the country when it is done by terror grps?",NOT-HATE
133,TIL Harvard invented the college interview and evaluation of extracurricular activities to weed out Jews in the selection process.,HATE
134,@irishzionist Arabs and Jihadi supporters scratching their heads wondering how they can blame Jews. \n\nWait until a Gazan gets eaten by a shark lol,NOT-HATE
135,"@edipyuksel @IDF ""Zionazi crimes."" Typical anti-Semitic garbage.",NOT-HATE
136,Gestapo rounded up Jews.\n\nICE rounds up brown people.\n\nNeither were criminals.\n\nhttps://t.co/Tll0UG2zAf,NOT-HATE
137,"Citizens of Israel, our accomplishments measure up to every global standard, all the more so since we live in a very small and crowded country. Therefore, your achievement here is very important.",NOT-HATE
138,Just a reminder... South Africa - 1967 Terrorism Act. https://t.co/HZJStFzGXA Israel - 2021...,NOT-HATE
139,‘We act to save lives. The exact opposite of the slaughter of 6 million Jews’ — Listen to Colorado’s first Jewish governor respond to critics that compared his stay-at-home orders to Nazism https://t.co/9PSncKFeH1,NOT-HATE
140,"The Synagogue controls the East &amp; West\n\nThe Jews control the cinema and the film industry, not only in America but in almost all countries of the world, including the Soviet Union. The textile industry and the cotton trade is also nearly everywhere in the hands of Jewry.",HATE
141,This is your periodic reminder that Uyghurs are about 1% of China's population. Much like how Jews were around 1% of the pre-war population in Europe.\n\nAny foreign policy discussion on China that sidelines/neglects Uyghurs is betraying history.\n\nhttps://t.co/Dt9vTHDJsk,NOT-HATE
142,"@Omar92Rana Indeed, palestinian sister....what strikes me odd is that the jews didnt learn anything from Hitler....instead they copied his evil acts....an evil breed indeed",HATE
143,"@MOFAVietNam The government of Nigeria is sponsoring terrorist against Christians, Jews and Muslims.@UNDPVietNam @EUDelegationVN @MOFAVietNam @UN @UN_HRC @UKParliament @_AfricanUnion @FBI @WelcomeVietNam @F1VietnamGP @OOCLvn. May God bless Vietnam and May God give Biafra freedom https://t.co/51LKZgXblC",NOT-HATE
144,"@TXLADY7061 In the Bible, Magog is Turkey.   We are moving forward.  It is Turkey who will attack Israel.",NOT-HATE
145,"What do the #TommyRobinson movement think about this Jews views on British white girls rape privilege? Because , you�ve all been very very quiet about this ??",HATE
146,"@TzuSays @JIMENA_Voice @levine2001 The analogy isn't someone who blindly supports Palestine up to and including rockets. The analogy is to a Palestinian who, merely by speaking of his history at all, is assumed to support ethnic cleansing of Jews. It's bad (dare I say racist) practice, and one shouldn't do it.",NOT-HATE
147,"When King Mohd V of Morocco was commanded by Adolf Hitler 2 round up all Moroccan Jews 4 relocation to Nazi concentration camps during World War II, he replied &amp; said: There are no Jews in Morocco. There are only Moroccan subjects. Not a single Moroccan Jew was deported or killed https://t.co/tRWMsPJYCz",NOT-HATE
