,Biased,Text
30,1,Jews killed Jesus. Do you also call that vile and inexcusable?
31,1,"Vile, these people are absolutely vile. Imagine Christians treating Jews this badly."
32,0,You think Jews resisting proselytizing by Christians is racist? LMAO ????????
33,0,"Traditional Judiasm is against abortion you low IQ idiot lol.

No wonder religious Jews don't come to Christ. Idiots like you assume that the secular and reform Jews (the Unitarian Universalist of Judiasm) represents what Judiasm traditionally taught."
34,0,Catholic Church Beatifies Polish Family that Defied Nazis to Save Jews
35,0,Maybe don’t talk about Jesus to Orthodox Jews.
36,1,Dumb jews push #Bidenomics ruination
37,1,"how would ""the jews"" or the adl in particular have any sway over twitter policy when the guy in charge of the website does five seig heils every morning and openly discusses that he hates them"
38,1,"Is this truly Jewish Religious belief?!

Jews are Gods chosen people; the elite and the pure-
blooded, while all others (non-Jews, Goyims, gentiles) are animal
souls incarnated into human bodies to serve the Jews. Killing a human
animal is just a sport like hunting deer or birds."
39,1,"It appears that, unbeknownst to everyone else, france is running everything in the western hemisphere. At least it’s not the Jews!"
40,1,Wow did you guys know the Jews are actually the victims here?They cry out in pain as they spit on you and hit you.
41,0,"When certain jewish people respond to any criticism (irrelevant to them being jews) with ""You hate jews"" and ""you're a white supremacist"" they lose the right to be taken seriously."
42,0,This is terrible.. I support Israel and most Christians do.. those brats wouldn’t be there if Christians didn’t help the Jews get their land back.. I’m very upset about this!
43,1,Jews obviously get triggered by JESUS'S NAME! ONLY DEMONS DO THIS!
44,0,"Of all my affiliations, I am most proud of being part of ?
@JFREJNYC
?, Jews for Racial and Economic Justice, an organization that lives its values and is committed to building the world we need, long for and which is the road to redemption"
45,0,"I'm confused by how many Jews are Christian Nationalists, according to the Left."
46,0,But the Jews need their own land. There are 22 Muslim countries. When the Jews lived in other countries they were oppressed and killed by Christians with the cross in front. They needed their own land to protect themselves.
47,0,"Narratives get flipped all the time, and good guys and bad exchange, but one thing is consistent, Israel is hated and Jews are blamed."
48,1,"#Sickening how these holier than thou jews act, hell they may as well be Muslim by the level of tolerance they show these women! I bet they beat the hell out of their women if they say something they don’t like! How in the hell do people uphold the Jew? 6 million my ass!"
49,0,This top black men an jews might be trying to tame white tyrants and end up raping them. It happens to girls in the south that charm things the town think they haven't earned. Nobody really believes in truth love with group think. Grabby.
50,0,"That’s a generalization. Jews may not believe Jesus is the path to God, but these Chasidic Jews who study the Talmud believe that “goyim” are no better than animals and should be killed. There are radicals in every religion. (I’m Jewish and I don’t believe that)"
51,0,Funny to me how Henry Ford said of hiring his workers “as long as their not negros or Jews” is overlooked by Ryan Blaney fans but yeah what an advocate for progress Blaney is
52,0,"Several million Jews are not gathered in Israel for a couple billion Christians to have one stop shopping for their proselytizing. Israel is not America. It's not even Canada. There are guardrails necessary for everyone in a multi-religious state (decidedly NOT a ""melting pot"") to minimize friction. I notice these ""Christians"" love the Jews so much they instigated an incident then posted it on the internet to stoke outrage. Lovely people."
53,1,"Oh dear!. Listen intently. 
“The godly thing for me to do is to kill you.” 
Jews using this tired argument of Idol worshippers is Sad. Sad. Sad. The Jews continue raising the stakes of erasing Jesus from Israel."
54,1,This is #Israel these are the #jew children - any comments?
55,1,"Filing this annoyance under ""The Jews"""
56,1,We are not fighting Jews because of their religion. We fight against those who occupy our lands.
57,0,"Seven Israeli teenagers have been arrested over a pair of videos circulated on social media that depicted violent confrontations between two gangs of Jewish in Petah Tikva. The first video shows a Jew being beaten by other Jews, in a public park. #IsraeliTerrorism #PetahTikva https://x.com/rasathaber/sta/rasathaber/status/1701492124116529217"
58,0,"These are Haredim, the most radical Jews in Israel. They are a menace and most Israelis aren’t fans."
59,0,"BREAKING: The Central Rabbinical Congress has released a powerful statement against the ADL & AIPAC for politicizing antisemitism.

""The Torah teaches us to be a gentle & humble people. Boycott, sanctions & the like are not the Torah's way. Criticizing Israel is not antisemitism!""

The CRC has over 300 Rabbis as members. Link to their Wikipedia page: https://en.wikipedia.org/wiki/Central_Rabbinical_Congress

CC: 
@elonmusk
 
@JGreenblattADL
  
@netanyahu
 
@AliAbunimah
 
@MEMRIReports
 
@abierkhatib"
60,0,"New York has the biggest single population of Jews of any city in the U.S. Are Yom Kippur, Rosh Hashanah, Passover, Sukkot, and Shavuot also official school holidays?"
61,0,"#ElonMuskIsaGiantTurd ""Antisemitism on Elon Musk’s X is surging and dredging up many ancient, defamatory themes of blaming Jews"" here: https://l.smartnews.com/p-V3KCE/Ox0aHq 
To read it on the web, tap here: https://l.smartnews.com/6GWop/Ox0aHq"
62,0,‘Are Most Jews Evil?’: Top US University Hosting ‘Palestine Literature Festival’ Featuring Avid Anti-Zionists
63,0,"The Jews of India in Israel

Hosted by the 
@JerusalemCenter
 IBSI Founder & CEO, 
@DumisaniTemsgen
 discusses the B’nei Israel (children of Israel) community that left Israel during the 2nd century BCE and began returning from India shortly after World War I. Eliaz Dandeker is an author and public speaker who shares the history of B’nei Israel.

YouTube https://youtu.be/VBkREhaD7ZU?si=Q_SSyUCKLg3rDHa9
#India #Israel #Jews #Jerusalem"
64,0,Nope. You haven't gathered any of the 9-million Diaspora Jews who will never buy into your fraud.
65,0,"Rosh Hashana begins this week & you are steady showing videos that leave out context w/the intent to ruin Jewish reputations & create divisions between Christians & Jews. The women in these videos were proselytizing Jews on Shabbat, our most holy day.  It's illegal in Israel & is literally an attempt to denegrate Judaism.  

In the words of 
@davidmdraiman
 , go fuck yourself."
66,1,"Criminal enterprises:
Italians = the Mob
Latinos = the cartel
Asians = the triad
Blacks = the gang

Jews = nothing to see here, youre just antisemitic"
67,0,"Babe, they literally blamed the Jews."
68,0,"....this is a ""I told you so moment"" for many people...
Hitler was wicked for killing millions of Jews...but Klaus Schwab is even more vile for devising to kill BILLIONS of people world wide...8 billion by whatever means necessary."
69,1,Gassing the Jews was not a crime. But it was immoral for the same reason abortion is immoral.
70,0,"Prior to May 1948, 100% of Palestinians were Jews
After May 1948, 100% of Palestinians are Arab.

United Nation's artificial people = Arab Palestinians

Talk Truth, not your hatred & bullshit
    ?????????? https://x.com/Marshall_H15/s/Marshall_H15/status/1697306917490643271"
71,0,"Aaand here come the Zionist apologists with their excuses, rationalizations and back peddeling.

Jews, never at fault. Perfect, prestine and always right."
72,0,"The Jews in Defiance of History - Dovid Margolin, Commentary Magazine"
73,0,"Goldman is the only Jew I've ever heard, he is fan orthodox Jewish isn't he?   He is making false statements with the understanding he is a Godly  and follows the Mosaic Laws and we can believe him because of that. Should he donate his salary to Fellowship of Christians and Jews?"
74,1,"These Ashkenazis are turncoats and traitors to Judaism, the Torah, and Yahwah. They disgust me. Standing with NAZIS after harassing half the damn world about antisemitism.....

These are the cultural clowns who endanger the lives of REAL TORAH ETHNIC JEWS..."
75,1,"Why this is happening in Israel today ???

Simply because the collective West closed an eye on this racist apartheid regime.
Israeli are doing to Arabs what Jews were enduring during WW2 against Nazi, nothing less.

Roles have been reversed, Israeli behaving like Nazis against Palestinians today.

Inconvenient truths."
76,0,"I just passed two cars in West London driving with Palestinian flags flying from each window, bouncing up and down in their cars, seemingly celebrating like they were having a party.

Make no mistake, this is a dangerous and terrifying time for all Jews around the world."
77,0,1948 is almost 75 years ago.  Jews were completely displaced by WW2.  This area was under the British prior to that. And they set it aside for the Jews.  They've had to fight for it ever since.
78,0,"You are dead-on. I grew up in a fundamentalist-Baptist, Evangelical, ""born-again"" environment.

It's in the code, baked in the cake.

Because Christianity subsumes Judaism (the OT), littered with refs to Jews being ""God's chosen people,"" (22 verses), that's the playing field."
79,0,Jerusalem doesn't belong to the Jews or the Muslims.
80,0,"Seeing Jews and Muslims fighting over the shittiest piece of land on Earth makes me realize how privileged I am here in Canada. When you don’t have a hard-on for divinely sanctioned real estate allotment, the world is so much more beautiful.

Burn your holy books & open your eyes."
81,0,What makes you think all jews represent Israel??
82,0,"The DSA held a hate rally, chanting: “from the River to the Sea,” which is code for wiping Israel from the face of the earth.  

Let that sink in.  The DSA is calling for the destruction of the Jewish State amid the largest single-day massacre of Jews since the Holocaust.  When it comes to the butchering and kidnapping of Israeli civilians and children, the DSA leadership has no shame.  No decency. No humanity. Only hate.  

I have been warning for years about the deep rot of antisemitism at the core of the DSA and its enablers.  There’s no denying it anymore."
83,0,"Judaism is Not Zionism! 

Israel is not the state of the Jewish people! 

Israel does not represent the Jews, and does not speak in their name! 

Jews are not responsible for the actions of the State of Israel! 

Anti-Zionism is not Antisemitism."
84,1,god bless the true jews
85,0,What the Nazis Did to the Warsaw Ghetto after Jews Dared Resist the Nazi Ubermenschen
86,0,"Israel will exist until Islam obliterates it. Palestine is Waqf land. It is the duty of every Muslim to liberate it. Muslims must fight Jews and kill them. - Hamas Charter

Any Indian supporting Hamas or its current operation is a terror enabler. My views:"
87,1,Jews are the only ones who learned nothing from the holocaust… except strategy
88,0,"A timely reminder that this is NOT a Muslim vs Jew conflict.

MANY Jews, both religious and secular, stand with Palestine.

Judaism and zionism are NOT the same. 

#Gaza #Israel #Palestine"
89,0,Look at what my Jewish students on campus have to deal with. Those paraglides were used to murder 300 Jewish young people. Only the Jews have to put up with this shit.
90,1,Like Ashkenazi Jews having no genome phenotype that even links them to the region. They are not the Israelites. They are Turkik in origin and resided in the Ukraine region circa 1000AD. Before WW2 there were 9 million of them. From 1200-1500s they were expelled from all of Europe
91,0,"urgent
 From inside Palestine..
 Jews burn the flag of Israel in protest against the crimes committed by their army and the export of hatred towards the Jews. Israel is collapsing internally and externally.

#?????_??????
"
92,0,"Jews, Christians, atheists &  hindus are all united cause of a common factor 'Muslims'.., Humanity is outta the window, they're in full support to see the downfall of innocent lives at all cost

Never you forget that Qur'anic verse & also the Munafiq fencist Muslims or appeasers"
93,0,"That’s funny, I read this book called the Bible which put the Jews in Israel and Jerusalem about 8k years earlier. 

That must be wrong."
94,0,"Very interesting how so many are up in arms about jews taking someone else's land, couldn't care less about someone else taking someone else's land. Hmm, what could trigger this reaction...What indeed ??"
95,0,She's a rabid nationalist that hates Jews. It's not unusual. Very popular ideology in the 1930s. #ShaniLouk
96,0," I am not ""beholden to all things Jewish."" 

I just (a) see no particular reason to dislike the Jews as a group, (b) see a number of reasons to be positively disposed toward believing, practicing Jews in particular, and (c) find frankly bizarre and insane this lens on the world where one sees every malign thing as somehow necessarily connected to the Jews. 

For example: what in the cinnamon toast fuck does the COVID vaccine have to do with Jews in any particular way? 

Governments and pharmaceutical corporations took advantage of the situation to attempt to accumulate more power and control and profit. This is what fallen, sinful human beings do. I don't doubt some of the bad actors pushing the vaccines were Jewish, but so were many who resisted them. Orthodox Jews in particular were quite bellicose in their resistance to lockdowns and vaccine mandates."
97,1,"The Zionists have started to pull out the Holocaust trauma card on the media. The Israeli Zionist  is the ultimate Anti-Semite movement. It intended to move all European Jews to Palestine, to legitimise and collaborate with Anti-Semite European states."
98,0,"Palestinians making Hitler proud today in Sydney, Australia. Yelling “Gas the Jews” while waving black Al-Qaeda flags. Focus on the flags, they reveal a lot about who is supporting Hamas."
99,1,"I still can't wrap my head around the idea of Israel. So, a bunch of white germans kïlled a bunch of white jews. And somehow the solution for this is to take land from and colonize a 3rd middle east nation, who were not party to the conflict. The gall of Europeans."
100,0,I don’t think people get how much many Arabs hate Jews. It’s on a different level than normal levels of “racism” we are used to or you see in other societies. There’s a deep collective hatred and desire to inflict suffering. This is the tail end of that.
101,0,"Are you FUCKING KIDDING me @Morning_Joe
?????? Ron Desantis is an OPEN ANTISEMITE, and you invited him on your show at this time? This man HATES JEWS WITH EVERY CELL IN HIS BODY. I am done and every Jew needs to stop watching your show forever. DISGUSTED."
102,1,"Jewish rabbi: We are with the Palestinian government and the Palestinian people. Before the occupation of Palestine by the Zionists, the Jews lived in peace and harmony with the Muslims. Our wish is the re-establishment of the Palestinian state."
103,0,"Also LOL: Is including my use of ""these people"" his attempt to...call me anti-Semitic? I...I think it is?? 

Actually that's less shocking when you remember he's the kind of Jew who looks down at other Jews. He probably legit thinks I'm not Jewish"
104,1,"You can absolutely hold Zionist Israelis  in contempt for their crimes like what theyre doing is atrocious, but calling them the jews in the same sentence while saying the well known antisemtic trope that jews run the world is In the samr sentence of reparations for their cont"
105,0,"Doesn't it feel good to shriek ""Free Palestine"" on campus without knowing what the fuck you're talking about? Here's what you're talking about: the mass murder of Jews in their homes, the beheading of babies, and the rape and kidnapping of young women. Questions?"
106,0,"?? Jews who do not live in Israel have their own opinion on what is happening in Palestine.

#IsraelPalestineConflict"
107,0,"Even ""Jewish friends"" doesn't literally mean her friend group. Just a PR way to refer to a group of people coz ""to the Jews"" doesn't sound good sksks and yeah it does need to be addressed that being against the Zionist movement doesn't mean you're anti-Semite coz there are plenty"
108,1,"The ""Jews are White"" side of ZOG"
109,0,"If you can’t let Jews even specifically mourn for 40 brutalised babies without sending inflammatory propaganda memes, you are part of the problem."
110,0,"If you think the world will tolerate the slogan “Free Palestine”, think again! 

Air Canada suspended a pilot that made posts glorifying what happened on October 7th. Many followed suit.

“Free Palestine” in the eye of the world has one meaning now, mass murder of Jews."
111,1,Why is it nobody can say anything about the Jews? Why?
112,0,"Hamas has stolen the shoes of thousands of Israelis; this means they were killed in horrifying ways. You need no further evidence other than the shoes. If you question the shoes, then you hate the Jews."
113,0,"Hey Ed…
Your President gave $6 billion dollars to a regime of violent cockroaches in Iran who want to do EXACTLY what the Nazis of Germany and Hamas of Palestine did to the Jews..  
Maybe hold him accountable bruh."
114,0,"Why do I think that even if we posted pictures of it Keith Woods wouldn’t believe it? 

“Israeli propaganda.”

To my Jewish friends: don’t try to convince the enemy. They are your enemy. Good or bad, right or wrong, Keith Woods will post negative information about Jews.Inevitable"
115,0,"To attack a strawman—leftists cheering on the death of Israeli Jews—at the precise moment that Israel is pummelling Gaza and killing Palestinians with the western world's blessings is beyond repugnant. Well done @NaomiAKlein
 you've become something worse than Naomi Wolf"
116,0,The ummah rejected the imam Mahdi and Promised Messiah and as a result has no unity. God has permitted every colour of Islam's enemies to oppress Muslims. This is the sunnatullah when messengers are rejected. Look at what happened to those Jews who rejected Isa (as).
117,0,"Jews are not colonizers,  do you even understand where the word jew comes from? JUDEA!!! Jews have 3000 years cultural ties to that land that can't be erased"
118,1,"We wuz original hwhites

Jews gave us nothing:
-Our writing system originate from phoenician
-Our architecture is based (mainly) on german, french, greek and Italian styles
-Our ethical system is the opposite of jewish
-Our religion is continuation of judaism but not rabinic one"
119,0,"The biggest massacre of Jews since the Holocaust, babies beheaded, toddlers kidnapped. If you support it, we will act against you. Try not to look too shocked when it happens.

Qatari media expressed support for the massacre."
120,0,"I don’t think we will ever truly know how many Jews live in Europe currently. The core population is 1.2-1.9 million, but many many people are unaccounted for"
121,0,"The Zionist state of Israel reminds us of Nazi Germany. Zionists oppress Jews in Mea Shearim, the anti-Zionist neighborhood of Jerusalem. Just as the Nazis raided ghettos, the Zionist police constantly raid Jewish neighborhoods and inflict violence on Jews.

Israeli police regularly raid the Jewish neighborhood of Mea Shearim in Jerusalem and detain Jews.

#ZionismisAntisemitism"
122,1,"""Right now, I am prepared to be a suicide bomber.""

""With Allah's help, I will fight for ISIS, the Islamic State.""

""I am ready to stab a Jew and drive a car over them.""

""We have to constantly stab them, drive over them, and shoot them.""

""Stabbing and running over Jews brings dignity to the Palestinians."" 

Palestinian children are taught to hate.

If you want to free the Palestinians, you must free their children's minds from hate."
123,0,"Islamic extremists curse their own kids with these teachings.

“Stabbing and running over Jews brings dignity to the Palestinians,” says the child.

A cult of revenge and death ensures more of the same."
124,0,"Israel has certainly become a country where Antiemitism is on the rise. Zionists are constantly attacking Jews mercilessly. See how a zionist official brutally attacked a jewish man. 

Zionism is a new form of Antisemitism today.

If you are a Jew who is against Zionism and Israel in Israel, you may be beaten every day, harassed by Zionists, and constantly raided and insulted by the police.

#ZionismisAntisemitism"
125,0,"zionism is something i was taught, raised with, for most of my life. i've struggled with my feelings about it. but there is no question here. it's obvious that Israel is committing war crimes and attempting mass genocide. jews have an OBLIGATION to speak out against it."
126,0,"Millions of jews fled to #Palestine , where they were welcomed as refugees! 
However, they quickly took up arms, of course with help of USA and Britian. 
After this they took over Palestine and declared the state of #Israel ...

#FreePalestine #Gaza"
127,0,The Jews in Israel don’t support this. The Jews in Israel hate their government. Your antisemitic appropriation of the Jews and the Israeli government fuels a fire you will never have to feel.
128,0,"I see that ""Day of Jihad"" is trending. 
Question for the FBI:  Are some upset parents going to yell at their own elected school boards again? Is a Catholic grandma praying outside an abortion clinic? Are Orthodox Jews going to ignore vaccination mandates?"
129,1,Who are the Jews?
130,0,"Amazing that the Left was able to convince their cult followers that moms with messy buns at school board meetings are domestic terrorists, and Hamas are the good guys simply trying to be free by beheading and raping Jews."
131,0,"An anti-Zionist view from a non-Jew? That's on par with a white person dropping the N-word. This is an in-house chat among Jews about how we choose to determine our fate. Not your circus, not your monkeys. Disagree with the occupation? Join the club, many of us do. But opine on Jewish self-determination? Go ahead, but it's a telltale sign of where you really stand"
132,0,"To be clear, because I had a friend ask, I in no way treat actual criticism of specific Israeli government policies as endorsing Hamas. Not at all. When have I been known to not criticize governments? The question is do you excuse the active genocide of Jews. If not, we’re good."
133,1,"We have to make war to prove that we are stronger than the Jews, 

says a little Palestinian schoolgirl in a Gaza school.
#FreeGaza #FreePalestine Until Hamas Stop ?? the war #AUSvsSA #NZvsBAN #?????_??????_
"
134,1,"On Jan. 20, 1942, Reinhard Heydrich, Adolf Eichmann & other Nazis met at the Wannsee Conference to decide the ""Final Solution"" of the Jews. History will record that today, Oct. 12, 2023 Blinken, Netanyahu & other Zionists met to decide the ""Final Solution"" of the Palestinians."
135,1,"There are millions of Jews like this, pushing for the #GazaGenocide"
136,0,"US Leftist college students:

""Black Lives Matter""
""BIPOC Lives Matter""
""Diversity Equity Inclusion""
""We stand in solidarity with all minorities & denounce bigotry in all forms.""

What about the Jews?

""Fuck the Jews""
""Gas the Jews""
""Destroy Israel""

Leftism is hypocritical hate."
137,1,"Ben Shapiro says Jesus “was just another Jew who tried to lead a revolt and was killed for His troubles”. 

“I believe, like most Jews, that Jesus was NOT a prophet, performed NO miracles, and was  NOT raised from the dead.”

This is what modern day zionists believe. It’s blasphemy. If you’re a Christian and have been tricked into supporting this nonsense, please REPENT."
138,1,"The Jews overplayed their hand creating an enormous reaction that has destroyed the credibility of many people, Jordan Peterson, Ben Shapiro, Bobby Kennedy, just to name a few. The 40 decapitated babies story is a classic example of miscalculation on their part. They don't understand that they are destroying their own credibility and, more importantly, the moral capital they acquired through #TheHolocaustNarrative . Blinken's speech announcing that he is a Jew is another example. He should have said he was an American and as such a neutral party who was trying to broker a peace."
139,0,"“We'll find the Jews here, we want the Zionists, we want their BLOOD!” London today. Everything is about to change in the West."
140,0,There are over a thousand American Jews in Brooklyn tonight saying we refuse to let our grief be weaponized to justify a genocide in Gaza.
141,0,"NOW

We’re anti-Zionist Jews locking themselves up outside Nancy Pelosi’s office in SF

This genocide must end, the US is standing by as Gaza is annihilated, our representatives are responsible

WE are responsible 

End the genocide, end the occupation"
142,0,"Anti semitism is a threat to all of Europe, not just Jews."
143,0,"#HamasTerrorist sympathizer spotted

Bigots not only hate Jews, but hate pretty much every other religious community

They even hate b/w Shia, Sunni n Ahamadia

Fighting b/w Ummah, Iran, Iraq, Syria, Pakistan, Baloch, Afghan, is there ne1 who they don’t hate?

bl@@dy supremacist"
144,0,Real Christians pray for the souls of Jews that they may find Christ and be saved before being condemned to eternal Hell.
145,1,I am absolutely begging American Jews to take a breath and think before sharing content that makes us out as the exclusive victim in a moment when our people are about to commit genocide to another people with the backing of global superpowers.
146,0,"Judge Jeanine says the protests at Columbia University remind her of Kristallnacht, when the Nazis declared war against German and Austrian Jews in 1938."
147,0,Don’t feed the trolls…she is a troll. She thinks Bibi controls the US policy…the Nazi’s in Gaza that attacked the Jews are getting what they deserve and these protesters shouldn’t be spared if they break the law…FAFO…
148,0,"Comparing student encampments and protests to Nazis who killed more than 6 million Jews in the Holocaust,  represents the greatest betrayal of the Holocaust victims, who are being exploited by these fools."
149,1,You're an Isreali shill. The Jews hate you more than lefties ever could. Fuck yourself
150,0,"Bibi has arrived at the Point of No Return. If he bombs Rafah the whole world will turn against him. Biden too. If he doesn't bomb Rafah Jews, mostly in Israel will turn against him. Biden would be with him though."
151,1,How many were false flag operations done by jews themselves
152,0,"Imagine being $300K+ in debt, with a felony record, and no diploma because TikTok said it's cool to hate Jews."
153,1,"Zionist Nazis attacked aid trucks going to Gaza.

These are not Jews. These are Nazis who came from Europe and occupied the holy lands.

They have nothing to do with Judaism.

There is no one more vile, misanthropic, anti-religious than the Zionists."
154,0,"Antisemitism is wrong, but I will not be voting for the Antisemitism Awareness Act of 2023 (H.R. 6090) today that could convict Christians of antisemitism for believing the Gospel that says Jesus was handed over to Herod to be crucified by the Jews. 

Read the bill text and contemporary examples of antisemitism like #9."
155,1,The Jews killed Jesus.
